,median_forecast,mean_forecast,std_forecast,min_forecast,max_forecast,num_respondents
2002-05-28,4.39,4.37,0.42,3.48,5.2,
2002-05-29,4.41,4.38,0.39,3.55,5.2,
2002-05-30,4.41,4.375,0.385,3.55,5.2,
2002-05-31,4.41,4.37,0.38,3.55,5.2,
2002-06-03,4.41,4.37,0.38,3.55,5.2,
2002-06-04,4.41,4.38,0.39,3.55,5.2,
2002-06-05,4.43,4.39,0.44,3.29,5.63,
2002-06-06,4.43,4.39,0.44,3.29,5.63,
2002-06-07,4.41,4.39,0.45,3.29,5.63,
2002-06-10,4.41,4.38,0.45,3.29,5.63,
2002-06-11,4.4,4.37,0.45,3.29,5.63,
2002-06-12,4.23,4.32,0.55,2.78,5.57,
2002-06-13,4.23,4.33,0.57,2.78,5.57,
2002-06-14,4.33,4.37,0.58,2.78,5.57,
2002-06-17,4.33,4.4,0.56,2.78,5.57,
2002-06-18,4.34,4.4,0.56,2.78,5.57,
2002-06-19,4.34,4.41,0.57,2.78,5.7,
2002-06-20,4.34,4.43,0.58,2.78,5.7,
2002-06-21,4.56,4.45,0.6,2.78,5.7,
2002-06-24,4.59,4.5,0.64,2.78,6.0,
2002-06-25,4.64,4.55,0.67,2.78,6.0,
2002-06-26,4.64,4.56,0.68,2.78,6.0,
2002-06-27,4.64,4.59,0.69,2.78,6.0,
2002-06-28,4.59,4.57,0.67,2.78,6.0,
2002-07-01,4.59,4.64,0.65,2.78,6.0,
2002-07-02,4.59,4.65,0.67,2.78,6.0,
2002-07-03,4.68,4.7,0.66,2.78,6.0,
2002-07-04,4.68,4.72,0.65,2.78,6.0,
2002-07-05,4.75,4.76,0.65,2.78,6.0,
2002-07-08,4.75,4.8,0.57,3.81,6.0,
2002-07-09,4.77,4.82,0.58,3.81,6.0,
2002-07-10,4.64,4.77,0.58,3.76,6.02,
2002-07-11,4.7,4.81,0.56,3.83,6.02,
2002-07-12,4.75,4.85,0.54,3.83,6.02,
2002-07-15,4.75,4.89,0.51,3.95,6.02,
2002-07-16,4.83,4.9,0.48,3.95,5.91,
2002-07-17,4.86,4.91,0.48,3.95,5.91,
2002-07-18,4.89,4.93,0.48,3.95,5.91,
2002-07-19,4.97,4.95,0.49,3.95,5.89,
2002-07-22,4.97,4.96,0.48,3.95,5.89,
2002-07-23,4.97,4.97,0.48,3.95,5.89,
2002-07-24,5.01,4.99,0.51,3.95,6.1,
2002-07-25,5.06,5.01,0.52,3.95,6.1,
2002-07-26,5.05,5.0,0.52,3.95,6.1,
2002-07-29,5.06,5.02,0.53,3.95,6.1,
2002-07-30,5.06,5.04,0.54,3.95,6.1,
2002-07-31,5.07,5.08,0.59,3.95,6.48,
2002-08-01,5.09,5.15,0.59,3.95,6.48,
2002-08-02,5.09,5.15,0.59,3.95,6.48,
2002-08-05,5.11,5.21,0.55,4.23,6.48,
2002-08-06,5.22,5.25,0.57,4.23,6.48,
2002-08-07,5.22,5.25,0.57,4.23,6.48,
2002-08-08,5.29,5.29,0.54,4.23,6.48,
2002-08-09,4.67,4.79,0.61,3.76,5.99,
2002-08-12,4.68,4.86,0.6,3.76,5.99,
2002-08-13,4.74,4.89,0.59,3.76,5.99,
2002-08-14,4.75,4.91,0.59,3.77,6.01,
2002-08-15,4.75,4.94,0.56,3.87,6.01,
2002-08-16,5.01,4.97,0.55,3.87,5.91,
2002-08-19,5.19,5.12,0.64,3.77,6.8,
2002-08-20,5.27,5.18,0.7,3.77,7.39,
2002-08-21,5.3,5.22,0.7,3.77,7.39,
2002-08-22,5.26,5.22,0.69,3.77,7.39,
2002-08-23,5.24,5.24,0.7,3.77,7.39,
2002-08-26,5.32,5.28,0.69,3.77,7.39,
2002-08-27,5.34,5.31,0.7,3.77,7.39,
2002-08-28,5.37,5.37,0.71,3.77,7.39,
2002-08-29,5.37,5.39,0.74,3.77,7.39,
2002-08-30,5.4,5.4,0.7,3.97,7.39,
2002-09-02,5.44,5.53,0.98,3.97,10.47,
2002-09-03,5.46,5.54,0.98,3.97,10.47,
2002-09-04,5.49,5.56,0.98,3.97,10.47,
2002-09-05,5.51,5.59,0.97,3.97,10.47,
2002-09-06,5.54,5.63,0.95,4.07,10.36,
2002-09-09,5.52,5.7,1.14,4.07,10.36,
2002-09-10,5.45,5.63,1.32,3.66,11.22,
2002-09-11,5.45,5.63,1.32,3.66,11.22,
2002-09-12,5.45,5.65,1.3,4.13,11.22,
2002-09-13,5.53,5.7,1.27,4.13,11.22,
2002-09-16,5.54,5.78,1.36,4.13,11.22,
2002-09-17,5.54,5.78,1.36,4.13,11.22,
2002-09-18,5.54,5.8,1.35,4.18,11.22,
2002-09-19,5.69,5.84,1.35,4.18,11.22,
2002-09-20,5.69,5.81,1.29,4.18,11.22,
2002-09-23,5.69,5.87,1.3,4.18,11.22,
2002-09-24,5.69,5.89,1.29,4.18,11.22,
2002-09-25,5.71,5.92,1.33,4.18,11.56,
2002-09-26,5.77,6.04,1.3,4.18,11.56,
2002-09-27,5.77,6.27,1.96,4.18,16.2,
2002-09-30,5.8,6.28,1.93,4.18,16.2,
2002-10-01,5.8,6.36,1.99,4.18,16.2,
2002-10-02,5.83,6.53,2.01,4.44,16.2,
2002-10-03,5.87,6.53,1.98,4.44,16.2,
2002-10-04,5.86,6.53,1.97,4.44,16.2,
2002-10-07,6.02,6.59,1.96,4.44,16.2,
2002-10-08,6.2,6.64,1.94,4.44,16.2,
2002-10-09,6.07,6.55,2.15,4.19,17.64,
2002-10-10,6.18,6.56,2.09,4.19,17.64,
2002-10-11,6.21,6.66,2.14,4.19,17.64,
2002-10-14,6.36,6.84,2.33,4.19,17.64,
2002-10-15,6.48,6.91,2.3,4.19,17.64,
2002-10-16,6.58,7.27,2.47,4.4,17.64,
2002-10-17,6.99,7.66,2.69,4.4,17.64,
2002-10-18,7.41,7.92,2.68,4.46,17.64,
2002-10-21,7.87,7.95,2.37,4.46,14.47,
2002-10-22,8.03,8.15,2.44,4.46,14.47,
2002-10-23,8.03,8.22,2.38,4.46,14.47,
2002-10-24,8.3,8.41,2.39,4.46,14.47,
2002-10-25,8.51,8.64,2.57,4.46,14.55,
2002-10-28,8.57,8.71,2.52,4.46,14.55,
2002-10-29,8.57,8.73,2.53,4.46,14.73,
2002-10-30,8.62,8.79,2.53,4.46,14.73,
2002-10-31,8.62,8.94,2.58,4.46,14.73,
2002-11-01,9.0,9.39,2.68,4.46,15.42,
2002-11-04,9.05,9.74,2.53,5.15,15.42,
2002-11-05,9.43,9.83,2.55,5.15,15.42,
2002-11-06,9.61,9.91,2.52,5.15,15.42,
2002-11-07,9.63,9.93,2.48,5.15,15.42,
2002-11-08,9.88,10.13,2.48,5.15,15.42,
2002-11-11,10.1,10.18,2.55,5.15,15.83,
2002-11-12,9.7,10.03,2.78,4.55,15.74,
2002-11-13,10.08,10.49,2.73,4.55,15.74,
2002-11-14,10.63,10.78,2.65,4.8,16.31,
2002-11-15,10.83,10.89,2.6550000000000002,4.98,16.31,
2002-11-18,11.03,11.0,2.66,5.16,16.31,
2002-11-19,11.01,11.08,2.73,5.16,16.31,
2002-11-20,11.07,11.15,2.78,5.16,16.31,
2002-11-21,11.07,11.23,2.73,5.16,16.31,
2002-11-22,11.23,11.5,2.96,5.16,18.46,
2002-11-25,11.65,11.76,2.87,5.16,18.46,
2002-11-26,12.24,12.09,2.72,6.38,18.46,
2002-11-27,12.24,12.12,2.67,6.38,17.55,
2002-11-28,12.29,12.28,2.7,6.38,17.55,
2002-11-29,12.54,12.47,2.73,6.38,18.01,
2002-12-02,12.54,12.54,2.8,6.38,18.01,
2002-12-03,12.61,12.68,2.75,6.38,17.9,
2002-12-04,12.61,12.73,2.73,6.38,17.9,
2002-12-05,13.1,12.9,2.79,6.38,19.17,
2002-12-06,11.54,11.42,2.39,6.77,18.33,
2002-12-09,11.79,11.62,2.43,6.77,18.33,
2002-12-10,11.79,11.68,2.51,6.77,18.33,
2002-12-11,11.71,11.74,2.46,6.77,18.33,
2002-12-12,11.84,11.9,2.48,6.77,19.13,
2002-12-13,12.38,12.1,2.48,6.77,19.13,
2002-12-16,12.38,12.12,2.48,6.77,19.13,
2002-12-17,12.49,12.17,2.5,6.77,19.13,
2002-12-18,12.63,12.43,2.36,6.85,19.13,
2002-12-19,12.76,12.75,2.29,6.85,19.37,
2002-12-20,12.74,12.87,2.14,7.73,19.37,
2002-12-23,12.84,12.91,2.13,7.73,19.37,
2002-12-24,12.84,12.92,2.13,7.73,19.37,
2002-12-25,12.84,12.95,2.075,8.31,19.37,
2002-12-26,12.84,12.98,2.02,8.89,19.37,
2002-12-27,13.18,13.09,1.97,8.73,19.37,
2002-12-30,13.18,13.2,1.95,9.87,19.37,
2002-12-31,13.18,13.24,1.94,9.87,19.37,
2003-01-01,13.18,13.254999999999999,1.9249999999999998,9.87,19.37,
2003-01-02,13.18,13.27,1.91,9.87,19.37,
2003-01-03,13.23,13.35,1.92,9.87,19.37,
2003-01-06,13.38,13.48,1.87,9.87,19.37,
2003-01-07,13.44,13.55,1.84,9.87,19.37,
2003-01-08,13.38,13.52,1.86,9.87,19.37,
2003-01-09,13.38,13.51,1.86,9.87,19.37,
2003-01-10,11.59,11.85,1.88,8.18,18.0,
2003-01-13,11.49,11.86,1.87,8.62,18.0,
2003-01-14,11.58,11.78,1.7,8.62,16.36,
2003-01-15,11.56,11.71,1.61,8.62,16.24,
2003-01-16,11.58,11.73,1.62,8.62,16.24,
2003-01-17,11.56,11.7,1.6,8.62,16.24,
2003-01-20,11.56,11.78,1.53,9.11,16.24,
2003-01-21,11.58,11.85,1.48,9.2,16.24,
2003-01-22,11.56,11.8,1.51,9.2,16.24,
2003-01-23,11.56,11.79,1.49,9.2,16.24,
2003-01-24,11.56,11.8,1.49,9.2,16.24,
2003-01-27,11.56,11.83,1.48,9.25,16.24,
2003-01-28,11.56,11.81,1.49,9.21,16.24,
2003-01-29,11.59,11.81,1.48,9.21,16.24,
2003-01-30,11.56,11.72,1.44,9.21,16.24,
2003-01-31,11.56,11.72,1.45,9.21,16.24,
2003-02-03,11.56,11.73,1.42,9.21,16.24,
2003-02-04,11.56,11.75,1.41,9.21,16.24,
2003-02-05,11.56,11.78,1.38,9.5,16.24,
2003-02-06,11.84,11.89,1.4,9.5,16.24,
2003-02-07,11.99,11.94,1.4,9.5,16.24,
2003-02-10,12.0,11.98,1.38,9.5,16.24,
2003-02-11,12.0,11.98,1.4,9.5,16.24,
2003-02-12,12.01,12.01,1.41,9.5,16.24,
2003-02-13,10.49,10.76,1.71,8.4,15.61,
2003-02-14,10.58,10.84,1.75,8.4,15.61,
2003-02-17,10.69,10.97,1.63,8.4,15.61,
2003-02-18,10.71,11.0,1.64,8.29,15.61,
2003-02-19,10.71,11.01,1.66,8.29,15.61,
2003-02-20,10.73,10.96,1.59,8.29,15.61,
2003-02-21,10.73,11.0,1.6,8.29,15.61,
2003-02-24,10.9,10.99,1.48,8.29,15.27,
2003-02-25,10.95,11.02,1.49,8.29,15.27,
2003-02-26,10.95,11.04,1.46,8.29,15.27,
2003-02-27,10.95,11.05,1.45,8.29,15.27,
2003-02-28,10.95,11.07,1.44,8.29,15.27,
2003-03-03,10.969999999999999,11.09,1.4233333333333333,8.29,15.27,
2003-03-04,10.99,11.110000000000001,1.4066666666666665,8.29,15.27,
2003-03-05,11.01,11.13,1.39,8.29,15.27,
2003-03-06,11.01,11.2,1.38,8.29,15.27,
2003-03-07,11.01,11.21,1.38,8.29,15.27,
2003-03-10,11.01,11.22,1.36,8.29,15.27,
2003-03-11,11.01,11.24,1.36,8.29,15.27,
2003-03-12,11.01,11.27,1.33,8.29,15.27,
2003-03-13,10.91,11.18,1.3,8.29,15.27,
2003-03-14,9.85,9.99,1.38,6.91,14.37,
2003-03-17,9.8,9.94,1.36,6.91,14.37,
2003-03-18,9.72,9.88,1.35,6.91,14.37,
2003-03-19,9.71,9.83,1.37,6.91,14.37,
2003-03-20,9.7,9.82,1.38,6.91,14.37,
2003-03-21,9.62,9.85,1.39,6.99,14.37,
2003-03-24,9.5,9.85,1.39,6.99,14.37,
2003-03-25,9.62,9.9,1.35,6.99,14.37,
2003-03-26,9.62,9.92,1.34,6.99,14.37,
2003-03-27,9.58,9.91,1.34,6.99,14.37,
2003-03-28,9.64,9.92,1.33,6.99,14.37,
2003-03-31,9.58,9.9,1.34,6.96,14.37,
2003-04-01,9.58,9.9,1.34,6.96,14.37,
2003-04-02,9.7,9.9,1.33,6.96,14.37,
2003-04-03,9.58,9.87,1.33,6.96,14.37,
2003-04-04,9.57,9.86,1.31,6.98,14.37,
2003-04-07,9.39,9.79,1.32,6.98,14.37,
2003-04-08,9.39,9.8,1.33,6.98,14.37,
2003-04-09,9.39,9.76,1.31,6.98,14.37,
2003-04-10,9.05,9.33,1.35,6.4,13.66,
2003-04-11,9.11,9.33,1.37,6.16,13.66,
2003-04-14,9.09,9.32,1.35,6.16,13.66,
2003-04-15,9.05,9.28,1.35,6.16,13.66,
2003-04-16,9.05,9.31,1.35,6.16,13.66,
2003-04-17,9.06,9.35,1.36,6.16,13.66,
2003-04-18,9.06,9.346666666666666,1.35,6.16,13.66,
2003-04-21,9.06,9.343333333333334,1.34,6.16,13.66,
2003-04-22,9.06,9.34,1.33,6.16,13.66,
2003-04-23,9.05,9.3,1.28,6.16,13.66,
2003-04-24,9.01,9.24,1.15,6.16,12.48,
2003-04-25,9.03,9.25,1.11,6.16,12.48,
2003-04-28,9.05,9.28,1.05,7.15,12.48,
2003-04-29,9.03,9.25,1.04,7.15,12.48,
2003-04-30,8.88,9.18,1.04,7.15,12.48,
2003-05-01,8.875,9.155000000000001,1.0750000000000002,6.79,12.48,
2003-05-02,8.87,9.13,1.11,6.43,12.48,
2003-05-05,8.85,9.14,1.12,6.43,12.48,
2003-05-06,8.84,9.06,1.1,6.43,12.48,
2003-05-07,8.84,9.05,1.1,6.43,12.48,
2003-05-08,8.83,9.01,1.12,6.43,12.48,
2003-05-09,8.8,8.98,1.14,6.43,12.48,
2003-05-12,8.77,8.92,1.17,6.43,12.48,
2003-05-13,8.2,8.33,1.19,5.8,11.87,
2003-05-14,8.24,8.36,1.16,5.8,11.87,
2003-05-15,8.24,8.32,1.18,5.43,11.87,
2003-05-16,8.3,8.32,1.2,5.43,11.87,
2003-05-19,8.3,8.33,1.19,5.43,11.87,
2003-05-20,8.27,8.26,1.18,5.43,11.87,
2003-05-21,8.25,8.25,1.16,5.43,11.77,
2003-05-22,8.19,8.21,1.11,5.43,11.77,
2003-05-23,8.22,8.22,1.09,5.8,11.77,
2003-05-26,8.11,8.21,1.08,5.8,11.77,
2003-05-27,8.11,8.2,1.08,5.8,11.77,
2003-05-28,8.13,8.22,1.09,5.8,11.77,
2003-05-29,8.14,8.23,1.07,5.8,11.77,
2003-05-30,8.22,8.23,1.06,5.8,11.77,
2003-06-02,8.07,8.19,1.08,5.69,11.77,
2003-06-03,8.07,8.18,1.07,5.69,11.77,
2003-06-04,8.06,8.12,1.19,3.9,11.77,
2003-06-05,8.06,8.14,1.13,4.63,11.77,
2003-06-06,8.09,8.14,1.14,4.63,11.77,
2003-06-09,8.03,8.11,1.17,4.63,11.77,
2003-06-10,7.99,8.06,1.22,4.45,11.86,
2003-06-11,7.89,7.95,1.19,4.45,11.86,
2003-06-12,7.81,7.87,1.21,4.45,11.86,
2003-06-13,7.76,7.83,1.21,4.45,11.86,
2003-06-16,7.71,7.79,1.22,4.45,11.86,
2003-06-17,7.71,7.79,1.22,4.45,11.86,
2003-06-18,7.7,7.77,1.24,4.45,11.86,
2003-06-19,7.57,7.72,1.245,4.45,11.86,
2003-06-20,7.44,7.67,1.25,4.45,11.86,
2003-06-23,7.34,7.5,1.13,4.45,10.42,
2003-06-24,7.42,7.57,1.23,4.45,11.45,
2003-06-25,7.26,7.42,1.22,4.45,11.45,
2003-06-26,7.09,7.34,1.24,4.45,11.45,
2003-06-27,6.98,7.21,1.16,4.45,10.79,
2003-06-30,6.91,7.08,1.21,4.43,10.79,
2003-07-01,6.91,7.03,1.23,3.96,10.79,
2003-07-02,6.83,6.99,1.27,3.96,10.79,
2003-07-03,6.74,6.94,1.26,4.18,10.48,
2003-07-04,6.75,6.87,1.21,4.18,10.42,
2003-07-07,6.69,6.83,1.19,4.32,10.42,
2003-07-08,6.69,6.8,1.2,4.32,10.42,
2003-07-09,7.2,7.26,1.28,4.56,11.12,
2003-07-10,7.2,7.2,1.28,4.56,11.12,
2003-07-11,7.16,7.18,1.27,4.56,11.12,
2003-07-14,7.12,7.14,1.27,4.37,11.12,
2003-07-15,7.09,7.06,1.29,4.52,11.12,
2003-07-16,7.12,7.02,1.25,4.45,11.12,
2003-07-17,7.07,6.91,1.13,4.56,9.79,
2003-07-18,7.04,6.87,1.12,4.46,9.79,
2003-07-21,7.01,6.86,1.13,4.58,9.62,
2003-07-22,6.64,6.75,1.12,4.42,9.62,
2003-07-23,6.61,6.66,1.16,4.42,9.62,
2003-07-24,6.53,6.6,1.15,4.42,9.62,
2003-07-25,6.5,6.49,1.12,4.42,9.62,
2003-07-28,6.37,6.43,1.13,4.42,9.62,
2003-07-29,6.37,6.42,1.13,4.42,9.62,
2003-07-30,6.36,6.41,1.13,4.42,9.62,
2003-07-31,6.29,6.39,1.15,4.25,9.62,
2003-08-01,6.2,6.36,1.16,4.19,9.62,
2003-08-04,6.11,6.31,1.18,4.19,9.62,
2003-08-05,6.11,6.31,1.16,4.19,9.62,
2003-08-06,6.11,6.31,1.16,4.48,9.62,
2003-08-07,6.11,6.27,1.1,4.48,9.4,
2003-08-08,6.64,6.81,1.16,4.68,10.33,
2003-08-11,6.59,6.73,1.16,4.68,10.33,
2003-08-12,6.59,6.72,1.16,4.68,10.33,
2003-08-13,6.59,6.69,1.16,4.68,10.33,
2003-08-14,6.56,6.63,1.08,4.68,10.07,
2003-08-15,6.47,6.58,1.06,4.68,10.07,
2003-08-18,6.38,6.53,1.09,4.68,10.07,
2003-08-19,6.34,6.51,1.09,4.53,10.07,
2003-08-20,6.3,6.43,1.04,4.53,10.07,
2003-08-21,6.27,6.38,0.94,4.53,10.01,
2003-08-22,6.3,6.39,0.95,4.53,10.01,
2003-08-25,6.3,6.37,0.95,4.53,10.01,
2003-08-26,6.3,6.37,0.95,4.53,10.01,
2003-08-27,6.3,6.36,0.95,4.53,10.01,
2003-08-28,6.3,6.36,0.96,4.53,10.01,
2003-08-29,6.25,6.32,0.94,4.53,10.01,
2003-09-01,6.22,6.3,0.95,4.59,10.01,
2003-09-02,6.22,6.28,0.81,4.59,8.35,
2003-09-03,6.22,6.28,0.81,4.59,8.35,
2003-09-04,6.21,6.27,0.82,4.59,8.35,
2003-09-05,6.25,6.24,0.81,4.59,8.35,
2003-09-08,6.25,6.24,0.8,4.63,8.35,
2003-09-09,6.44,6.43,0.83,4.89,8.6,
2003-09-10,6.48,6.43,0.81,4.96,8.6,
2003-09-11,6.48,6.44,0.8,4.99,8.6,
2003-09-12,6.48,6.47,0.78,4.99,8.6,
2003-09-15,6.48,6.48,0.78,4.99,8.6,
2003-09-16,6.46,6.48,0.76,4.99,8.6,
2003-09-17,6.46,6.5,0.76,4.99,8.6,
2003-09-18,6.43,6.49,0.75,5.07,8.6,
2003-09-19,6.43,6.5,0.74,5.07,8.6,
2003-09-22,6.48,6.5,0.74,5.07,8.72,
2003-09-23,6.48,6.5,0.74,5.07,8.72,
2003-09-24,6.48,6.49,0.73,5.07,8.72,
2003-09-25,6.48,6.5,0.73,5.07,8.72,
2003-09-26,6.5,6.54,0.78,5.07,8.73,
2003-09-29,6.55,6.56,0.79,5.07,8.73,
2003-09-30,6.55,6.56,0.79,5.03,8.73,
